,TotPs,AccLB,InAccLB,AccSP,InAccSP
566,2.6,0.1,0.1,1.1,1.2
567,3,-,-,2.7,0.3
568,6,0.4,0.4,3.6,1.6
569,9,-,0.7,7.3,1
570,6.8,-,0.3,3.8,2.8
571,12,-,-,11,1
572,6,0.2,0.2,4.2,1.5
573,8.6,0.3,-,5,3.3
574,4,-,0.5,3.5,-
575,10,0.5,-,5.5,4
576,13,-,0.5,11.5,1
577,11,1,-,8,2
578,6.6,-,0.2,5.4,1
579,2,-,-,2,-
580,15.8,0.5,1.5,11.8,2
581,9,-,-,7,2
582,5,-,-,4,1
583,1,-,-,1,-
584,8.7,0.2,0.3,6.8,1.4
585,8.8,0.3,0.3,6.8,1.5
586,8.5,-,-,7,1.5
587,4.7,0.1,0.1,3.6,0.9
588,1.8,0.2,-,0.5,1.2
589,1.8,-,-,1.5,0.3
590,27.9,3.6,5.3,18.8,0.3
591,3.8,0.2,0.4,2.2,1
592,6.7,0.3,0.3,5.3,0.7
593,2.3,-,-,1.7,0.7
594,6.3,0.3,0.1,3.8,2.1
595,2,-,-,2,-
596,-,-,-,-,-
597,-,-,-,-,-
598,4.6,-,-,3.4,1.2
599,4,-,-,4,-
600,-,-,-,-,-
601,1,-,-,1,-
602,3,1,-,-,2
603,1,-,1,-,-
604,2.7,-,-,1.8,0.9
605,1,-,-,1,-
606,3,-,2,1,-
607,26.3,1,1,21.7,2.7
608,3,-,-,2,1
609,24.1,1,0.4,20.9,1.9
610,2,-,-,2,-
611,1.5,-,-,1,0.5
612,4.3,-,-,3.3,1
613,5,-,-,4,1
614,8,1,-,6,1
615,3,-,-,2.5,0.5
616,4,-,-,3,1
617,4.6,0.2,-,2.8,1.6
618,-,-,-,-,-
619,6.5,-,-,4.5,2
620,3,-,0.3,1.7,1
621,19,-,-,16,3
622,16,4,6,5,1
623,18.3,0.8,0.6,15.3,1.6
624,3,-,-,3,-
