Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Axel Tuanzebe,16(1),1361,-,1,3,1,0.2,85.8,0.8,-,6.29
Daichi Kamada,12(16),1225,-,-,3,1,0.6,81.7,0.1,-,6.29
Raheem Sterling,5(8),353,-,2,1,-,0.8,81.4,0.1,-,6.29
Ramón Sosa,1(15),253,1,-,1,-,0.6,72.4,0.3,-,6.29
Dane Scarlett,0(3),31,-,1,-,-,0.3,60,0.3,-,6.29
Carlos Soler,13(14),1259,1,1,5,-,0.9,88,0.4,-,6.29
Charlie Taylor,2(5),263,-,-,1,-,-,92.5,0.6,-,6.29
Youssef Chermiti,0(2),15,-,-,1,-,1,40,0.5,-,6.29
Flynn Downes,19(2),1616,1,-,10,-,0.4,90.2,0.5,-,6.28
Rodrigo Gomes,6(13),609,1,-,-,-,0.2,68.9,0.3,-,6.28
Michael Kayode,0(6),58,-,-,-,-,-,79.2,0.2,-,6.28
Eddie Nketiah,7(16),779,1,1,3,1,1.4,75.4,0.7,-,6.28
Vladimír Coufal,8(8),768,-,-,3,-,0.3,80.9,1.1,-,6.27
Jorge Cuenca,3(3),259,-,-,-,-,0.2,84,1,-,6.27
Matt Targett,0(1),12,-,-,-,-,-,100,-,-,6.27
Nathan Wood,7(2),625,-,-,2,-,0.2,93.8,1.2,-,6.27
Alex McCarthy,5,450,-,-,-,-,-,69.8,0.4,-,6.27
Renato Veiga,1(6),177,-,-,2,-,0.4,84.1,0.4,-,6.27
Kyle Walker,9(6),967,-,-,3,-,0.3,88.6,0.6,-,6.27
Cheick Doucouré,4(9),447,-,-,1,-,0.5,85.7,0.4,-,6.27
Harvey Elliott,0(12),156,-,1,-,-,0.8,84.6,0.1,-,6.27
Samuel Edozie,0(2),64,-,-,1,-,-,82.8,-,-,6.27
Hákon Valdimarsson,1(1),144,-,-,-,-,-,61.9,0.5,-,6.27
Fábio Carvalho,3(16),447,2,1,1,-,0.6,74.7,0.1,-,6.26
Armel Bella-Kotchap,2(2),329,-,-,-,-,0.3,90.6,1.5,-,6.26
Hamza Choudhury,1(3),130,-,-,-,-,-,89.5,-,-,6.26
Tom Cairney,2(18),458,1,-,3,1,0.3,92.8,0.2,-,6.26
James Bree,11(3),892,-,1,-,-,0.3,87,0.9,-,6.26
Sean Longstaff,8(16),787,-,-,2,-,0.3,86,0.4,-,6.26
Craig Dawson,10(5),969,-,-,2,-,0.3,86.7,1.4,-,6.26
